student_id,age,cgpa,backlogs,attendance_percentage,aptitude_test_score,coding_skill_score,problem_solving_score,teamwork_score,communication_score,leadership_score,mock_interview_score,extracurricular_score,internships_done,projects_count,hackathon_participation,recommended_career,alt_career_1,alt_career_2,match_confidence,skill_gap_1,skill_gap_2,skill_gap_3,gap_severity,readiness_score,est_weeks_to_ready,peer_benchmark_percentile,learning_roadmap_url
15,21,8.59,0,73,84,57,62,67,73,68,65,62,4,3,No,Data Analyst,Data Scientist,Full Stack Developer,91,leadership_score,coding_skill_score,problem_solving_score,Medium,87,4,73,https://roadmap.sh/data-analyst
16,24,7.98,0,70,84,83,70,69,77,59,30,57,0,5,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,81,problem_solving_score,teamwork_score,aptitude_test_score,Low,63,7,55,https://roadmap.sh/ai-data-scientist
17,22,6.33,0,96,80,75,85,60,54,65,26,47,1,5,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,83,problem_solving_score,aptitude_test_score,coding_skill_score,Low,70,6,62,https://roadmap.sh/devops
18,22,6.85,0,89,79,82,92,79,60,51,26,69,2,6,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,80,coding_skill_score,extracurricular_score,leadership_score,Low,78,4,69,https://roadmap.sh/devops
19,21,6.36,0,76,57,100,89,76,53,57,57,72,2,4,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,77,coding_skill_score,aptitude_test_score,problem_solving_score,Low,70,6,58,https://roadmap.sh/full-stack
20,24,9.9,0,83,92,73,62,69,69,58,44,50,2,1,No,Data Analyst,Data Scientist,Full Stack Developer,94,coding_skill_score,aptitude_test_score,teamwork_score,Low,71,5,60,https://roadmap.sh/data-analyst
21,19,9.49,0,70,69,78,93,73,76,46,44,72,1,3,No,AI / ML Engineer,Data Scientist,Full Stack Developer,92,problem_solving_score,teamwork_score,aptitude_test_score,Low,70,6,58,https://roadmap.sh/ai-engineer
22,22,9.01,1,70,69,87,85,74,58,58,29,49,0,3,Yes,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,82,problem_solving_score,coding_skill_score,extracurricular_score,Low,58,8,50,https://roadmap.sh/cyber-security
23,23,6.64,1,72,65,70,70,56,80,49,93,56,2,2,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,75,coding_skill_score,leadership_score,communication_score,Medium,63,7,51,https://roadmap.sh/cyber-security
24,19,8.64,0,93,86,36,72,89,93,97,80,81,1,3,Yes,Product Manager,UI/UX Designer,Data Scientist,81,communication_score,coding_skill_score,aptitude_test_score,Medium,63,7,56,https://roadmap.sh/product-manager
25,22,6.57,1,74,79,80,77,54,65,59,95,64,2,2,No,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,71,leadership_score,aptitude_test_score,communication_score,Low,60,8,58,https://roadmap.sh/blockchain
26,24,9.17,0,68,52,45,72,77,84,75,81,99,2,3,Yes,UI/UX Designer,Product Manager,Mobile App Developer,86,coding_skill_score,aptitude_test_score,leadership_score,Medium,72,5,69,https://roadmap.sh/ux-design
27,22,8.16,0,70,93,71,80,53,82,55,56,59,1,1,Yes,Data Analyst,Data Scientist,Full Stack Developer,74,communication_score,extracurricular_score,problem_solving_score,Low,53,9,48,https://roadmap.sh/data-analyst
28,24,8.28,0,61,63,75,79,59,78,58,84,50,1,4,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,89,leadership_score,extracurricular_score,teamwork_score,Medium,71,5,68,https://roadmap.sh/full-stack
29,24,9.75,2,94,85,50,64,94,83,94,85,66,3,3,No,Product Manager,UI/UX Designer,Data Scientist,98,teamwork_score,problem_solving_score,aptitude_test_score,Medium,85,4,78,https://roadmap.sh/product-manager
30,23,5.39,0,72,58,83,82,58,72,42,54,57,1,3,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,71,leadership_score,communication_score,teamwork_score,Medium,57,8,51,https://roadmap.sh/android
31,18,6.03,0,92,88,82,75,75,63,69,25,70,3,4,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,85,teamwork_score,extracurricular_score,leadership_score,Low,81,4,75,https://roadmap.sh/ai-engineer
32,24,9.49,0,72,92,99,76,46,58,57,76,58,1,2,No,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,77,leadership_score,extracurricular_score,coding_skill_score,Low,58,8,53,https://roadmap.sh/blockchain
33,20,8.21,0,84,99,74,92,59,68,65,66,67,0,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,80,extracurricular_score,coding_skill_score,communication_score,Low,54,9,47,https://roadmap.sh/ai-data-scientist
34,21,8.75,0,77,90,78,72,67,51,45,28,51,2,4,No,AI / ML Engineer,Data Scientist,Full Stack Developer,85,teamwork_score,coding_skill_score,leadership_score,Low,75,5,69,https://roadmap.sh/ai-engineer
35,20,7.33,0,78,80,70,69,67,51,66,45,62,2,6,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,90,teamwork_score,problem_solving_score,coding_skill_score,Medium,84,4,76,https://roadmap.sh/devops
36,22,8.45,0,61,79,87,88,53,65,40,30,57,3,3,Yes,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,92,extracurricular_score,communication_score,teamwork_score,Low,82,4,68,https://roadmap.sh/blockchain
37,20,7.17,0,84,88,83,93,66,80,55,59,54,1,4,No,Data Scientist,AI / ML Engineer,Cloud Engineer,77,extracurricular_score,problem_solving_score,coding_skill_score,Low,64,7,57,https://roadmap.sh/ai-data-scientist
38,24,9.41,0,84,83,72,75,70,59,54,87,69,1,3,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,87,coding_skill_score,leadership_score,problem_solving_score,Low,67,6,63,https://roadmap.sh/devops
39,21,6.21,0,90,78,66,77,73,68,48,27,50,2,3,No,Data Scientist,AI / ML Engineer,Cloud Engineer,78,leadership_score,extracurricular_score,aptitude_test_score,Medium,67,6,62,https://roadmap.sh/ai-data-scientist
40,25,9.98,0,77,85,70,73,72,69,66,49,43,1,2,Yes,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,85,teamwork_score,communication_score,aptitude_test_score,Low,63,7,54,https://roadmap.sh/cyber-security
41,19,9.88,0,73,83,76,93,50,48,39,63,42,3,2,Yes,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,96,teamwork_score,communication_score,coding_skill_score,Low,81,4,69,https://roadmap.sh/blockchain
42,23,7.87,0,83,66,74,92,63,63,43,86,62,0,1,No,AI / ML Engineer,Data Scientist,Full Stack Developer,64,problem_solving_score,leadership_score,aptitude_test_score,Low,41,11,33,https://roadmap.sh/ai-engineer
43,21,9.97,0,81,84,91,86,69,65,60,63,42,2,2,No,Data Scientist,AI / ML Engineer,Cloud Engineer,86,teamwork_score,problem_solving_score,aptitude_test_score,Low,69,6,60,https://roadmap.sh/ai-data-scientist
44,19,5.41,0,90,73,65,62,73,67,50,85,68,0,2,No,Data Analyst,Data Scientist,Full Stack Developer,67,teamwork_score,problem_solving_score,aptitude_test_score,Medium,46,10,37,https://roadmap.sh/data-analyst
45,24,7.95,1,67,68,82,65,56,59,66,59,55,0,2,Yes,Data Analyst,Data Scientist,Full Stack Developer,74,coding_skill_score,communication_score,aptitude_test_score,Medium,50,10,47,https://roadmap.sh/data-analyst
46,25,9.71,0,86,62,79,78,55,54,65,66,64,0,0,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,70,extracurricular_score,aptitude_test_score,leadership_score,Medium,42,11,42,https://roadmap.sh/cyber-security
47,25,8.82,0,88,75,73,81,58,64,51,87,65,3,1,No,AI / ML Engineer,Data Scientist,Full Stack Developer,83,aptitude_test_score,communication_score,teamwork_score,Low,70,6,60,https://roadmap.sh/ai-engineer
48,18,8.31,0,90,84,93,80,81,51,73,76,58,1,2,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,85,coding_skill_score,problem_solving_score,leadership_score,Low,63,7,57,https://roadmap.sh/devops
49,18,8.11,0,83,76,64,78,68,79,94,81,77,1,3,No,Product Manager,UI/UX Designer,Data Scientist,79,aptitude_test_score,leadership_score,coding_skill_score,Medium,62,7,52,https://roadmap.sh/product-manager
50,25,7.04,0,62,54,47,73,88,81,65,62,86,4,3,Yes,UI/UX Designer,Product Manager,Mobile App Developer,86,leadership_score,problem_solving_score,communication_score,Medium,84,4,77,https://roadmap.sh/ux-design
51,19,9.61,0,63,62,69,92,81,60,57,89,67,1,4,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,97,communication_score,leadership_score,extracurricular_score,Medium,76,4,65,https://roadmap.sh/devops
52,25,6.66,1,79,68,54,68,92,100,87,55,59,4,4,No,Product Manager,UI/UX Designer,Data Scientist,89,teamwork_score,communication_score,extracurricular_score,Medium,89,4,82,https://roadmap.sh/product-manager
53,25,8.96,0,64,93,83,64,65,85,44,67,62,4,1,No,Data Analyst,Data Scientist,Full Stack Developer,98,teamwork_score,problem_solving_score,communication_score,Low,85,4,71,https://roadmap.sh/data-analyst
54,23,9.85,0,71,93,83,82,63,75,51,67,66,2,2,Yes,Data Analyst,Data Scientist,Full Stack Developer,98,coding_skill_score,leadership_score,extracurricular_score,Low,76,4,71,https://roadmap.sh/data-analyst
55,19,8.16,2,69,84,75,71,86,60,48,37,42,1,1,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,78,aptitude_test_score,extracurricular_score,teamwork_score,Low,55,9,44,https://roadmap.sh/devops
56,20,5.73,0,91,66,75,88,62,59,64,55,46,0,1,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,66,teamwork_score,coding_skill_score,communication_score,Low,42,11,36,https://roadmap.sh/cyber-security
57,23,8.39,0,83,67,80,91,72,57,73,57,56,4,2,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,86,communication_score,leadership_score,aptitude_test_score,Low,81,4,70,https://roadmap.sh/devops
58,24,6.48,0,56,81,95,94,70,70,66,31,50,1,3,No,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,71,extracurricular_score,aptitude_test_score,problem_solving_score,Low,57,8,55,https://roadmap.sh/blockchain
59,20,5.95,0,97,67,81,75,62,76,64,64,50,2,5,No,Data Analyst,Data Scientist,Full Stack Developer,71,aptitude_test_score,teamwork_score,communication_score,Medium,69,6,61,https://roadmap.sh/data-analyst
60,22,6.0,1,78,79,99,71,66,78,69,86,49,3,2,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,82,problem_solving_score,extracurricular_score,communication_score,Low,73,5,61,https://roadmap.sh/full-stack
61,22,6.83,1,55,72,49,63,73,88,53,58,92,1,2,No,UI/UX Designer,Product Manager,Mobile App Developer,71,coding_skill_score,leadership_score,teamwork_score,Medium,54,9,50,https://roadmap.sh/ux-design
62,25,9.58,0,59,70,37,57,71,91,77,42,65,3,2,Yes,Product Manager,UI/UX Designer,Data Scientist,89,communication_score,aptitude_test_score,leadership_score,High,77,4,70,https://roadmap.sh/product-manager
63,19,7.94,0,81,73,61,92,62,58,58,60,45,3,3,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,90,teamwork_score,aptitude_test_score,leadership_score,Low,81,4,68,https://roadmap.sh/cyber-security
64,19,6.79,0,67,85,76,81,52,58,66,52,56,4,4,Yes,Data Analyst,Data Scientist,Full Stack Developer,86,extracurricular_score,leadership_score,problem_solving_score,Low,87,4,75,https://roadmap.sh/data-analyst
65,21,9.15,0,92,75,72,95,68,60,49,25,66,3,2,No,Data Scientist,AI / ML Engineer,Cloud Engineer,88,teamwork_score,coding_skill_score,problem_solving_score,Low,76,4,64,https://roadmap.sh/ai-data-scientist
66,23,6.79,1,92,87,87,69,63,53,55,78,68,0,2,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,70,leadership_score,coding_skill_score,communication_score,Low,48,10,46,https://roadmap.sh/ai-engineer
67,22,6.11,0,97,59,58,63,65,89,65,86,93,1,6,Yes,UI/UX Designer,Product Manager,Mobile App Developer,82,coding_skill_score,aptitude_test_score,leadership_score,Medium,73,5,61,https://roadmap.sh/ux-design
68,23,5.33,0,95,59,93,75,78,76,47,89,73,1,3,Yes,Full Stack Developer,Mobile App Developer,DevOps Engineer,64,communication_score,problem_solving_score,extracurricular_score,Low,53,9,48,https://roadmap.sh/full-stack
69,23,9.14,0,61,63,57,71,94,78,76,44,60,1,3,Yes,Product Manager,UI/UX Designer,Data Scientist,90,teamwork_score,extracurricular_score,aptitude_test_score,Medium,69,6,58,https://roadmap.sh/product-manager
70,23,7.78,0,90,57,100,85,75,60,53,79,57,2,2,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,75,leadership_score,problem_solving_score,teamwork_score,Low,63,7,60,https://roadmap.sh/full-stack
71,23,7.41,1,77,90,83,78,70,84,60,79,67,0,2,Yes,Data Analyst,Data Scientist,Full Stack Developer,63,teamwork_score,extracurricular_score,aptitude_test_score,Low,43,11,42,https://roadmap.sh/data-analyst
72,23,5.9,0,74,87,73,70,48,71,43,76,67,1,1,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,73,communication_score,extracurricular_score,teamwork_score,Low,52,9,44,https://roadmap.sh/ai-engineer
73,19,5.79,0,75,69,57,58,89,90,87,31,73,3,1,No,Product Manager,UI/UX Designer,Data Scientist,78,aptitude_test_score,problem_solving_score,leadership_score,Medium,67,6,61,https://roadmap.sh/product-manager
74,25,6.73,0,98,80,64,74,75,62,45,32,65,1,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,71,aptitude_test_score,coding_skill_score,teamwork_score,Medium,54,9,47,https://roadmap.sh/ai-data-scientist
75,21,8.74,0,79,77,83,87,65,51,40,34,58,1,4,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,79,leadership_score,communication_score,extracurricular_score,Low,65,7,58,https://roadmap.sh/android
76,24,8.55,0,62,73,86,92,61,54,71,83,41,0,2,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,75,leadership_score,communication_score,extracurricular_score,Low,51,9,46,https://roadmap.sh/cyber-security
77,21,6.98,0,76,77,80,84,75,84,52,39,52,1,1,No,Data Scientist,AI / ML Engineer,Cloud Engineer,66,coding_skill_score,problem_solving_score,aptitude_test_score,Low,48,10,41,https://roadmap.sh/ai-data-scientist
78,19,5.87,0,96,80,82,94,78,71,67,82,51,0,4,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,69,communication_score,coding_skill_score,extracurricular_score,Low,53,9,44,https://roadmap.sh/devops
79,18,8.16,1,92,80,72,71,54,59,60,29,71,1,1,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,70,leadership_score,extracurricular_score,communication_score,Medium,51,9,49,https://roadmap.sh/android
80,25,7.9,3,57,55,87,64,55,64,65,85,72,3,3,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,89,leadership_score,teamwork_score,problem_solving_score,Medium,80,4,68,https://roadmap.sh/android
81,20,6.24,0,83,65,92,85,68,76,61,68,54,1,5,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,69,coding_skill_score,leadership_score,communication_score,Low,62,7,55,https://roadmap.sh/ai-engineer
82,20,6.26,1,93,80,75,84,72,72,50,69,60,1,3,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,65,leadership_score,communication_score,aptitude_test_score,Low,54,9,47,https://roadmap.sh/devops
83,19,8.35,1,98,62,83,67,80,61,59,71,52,2,2,Yes,Full Stack Developer,Mobile App Developer,DevOps Engineer,82,problem_solving_score,coding_skill_score,aptitude_test_score,Medium,67,6,57,https://roadmap.sh/full-stack
84,18,7.54,0,88,76,68,73,73,82,65,73,60,2,4,No,Data Scientist,AI / ML Engineer,Cloud Engineer,80,coding_skill_score,communication_score,aptitude_test_score,Medium,72,5,66,https://roadmap.sh/ai-data-scientist
85,22,8.6,3,94,91,65,86,79,73,67,55,52,2,4,Yes,Data Analyst,Data Scientist,Full Stack Developer,92,leadership_score,communication_score,teamwork_score,Low,79,4,76,https://roadmap.sh/data-analyst
86,20,8.89,0,81,73,67,84,71,78,63,57,44,3,4,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,98,aptitude_test_score,coding_skill_score,problem_solving_score,Medium,88,4,75,https://roadmap.sh/devops
87,19,7.25,0,82,59,66,77,76,63,57,69,48,4,2,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,90,aptitude_test_score,problem_solving_score,coding_skill_score,Medium,84,4,71,https://roadmap.sh/devops
88,23,9.65,1,96,65,58,82,90,100,89,85,72,2,1,Yes,Product Manager,UI/UX Designer,Data Scientist,80,coding_skill_score,aptitude_test_score,problem_solving_score,Medium,63,7,52,https://roadmap.sh/product-manager
89,24,7.74,0,88,76,81,75,75,76,58,31,48,0,2,Yes,Full Stack Developer,Mobile App Developer,DevOps Engineer,67,leadership_score,extracurricular_score,coding_skill_score,Low,46,10,43,https://roadmap.sh/full-stack
90,22,7.58,0,64,87,61,82,67,60,52,78,48,1,3,Yes,Data Analyst,Data Scientist,Full Stack Developer,85,leadership_score,extracurricular_score,teamwork_score,Low,66,6,62,https://roadmap.sh/data-analyst
91,24,6.95,0,95,87,82,73,68,72,44,33,68,4,2,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,86,coding_skill_score,aptitude_test_score,leadership_score,Low,81,4,69,https://roadmap.sh/ai-engineer
92,25,9.07,0,98,85,38,78,69,90,83,42,64,4,2,Yes,Product Manager,UI/UX Designer,Data Scientist,88,coding_skill_score,aptitude_test_score,teamwork_score,Medium,82,4,71,https://roadmap.sh/product-manager
93,22,6.99,1,85,56,58,71,65,76,75,31,82,0,3,Yes,UI/UX Designer,Product Manager,Mobile App Developer,75,teamwork_score,communication_score,extracurricular_score,Medium,54,9,49,https://roadmap.sh/ux-design
94,23,9.87,0,86,80,38,69,73,100,91,79,67,4,3,No,Product Manager,UI/UX Designer,Data Scientist,98,coding_skill_score,aptitude_test_score,teamwork_score,Medium,91,4,77,https://roadmap.sh/product-manager
95,25,7.23,0,65,66,85,77,85,71,47,70,43,1,0,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,74,leadership_score,teamwork_score,problem_solving_score,Low,50,10,45,https://roadmap.sh/devops
96,18,5.71,0,83,65,83,84,52,70,62,71,58,0,2,No,AI / ML Engineer,Data Scientist,Full Stack Developer,65,communication_score,coding_skill_score,leadership_score,Low,45,11,40,https://roadmap.sh/ai-engineer
97,22,7.65,0,96,73,90,74,64,54,68,88,54,1,1,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,80,leadership_score,aptitude_test_score,communication_score,Low,57,8,49,https://roadmap.sh/full-stack
98,20,5.61,1,83,84,82,77,75,53,65,65,50,3,2,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,75,teamwork_score,extracurricular_score,problem_solving_score,Low,69,6,59,https://roadmap.sh/devops
99,20,7.54,0,67,78,50,81,87,80,100,72,60,1,3,Yes,Product Manager,UI/UX Designer,Data Scientist,71,communication_score,teamwork_score,extracurricular_score,Medium,57,8,50,https://roadmap.sh/product-manager
100,19,7.05,0,91,57,52,67,90,72,76,84,95,0,2,Yes,UI/UX Designer,Product Manager,Mobile App Developer,66,communication_score,leadership_score,coding_skill_score,Medium,45,11,37,https://roadmap.sh/ux-design
101,23,7.59,0,65,98,92,77,59,58,47,91,61,4,2,No,Data Scientist,AI / ML Engineer,Cloud Engineer,87,teamwork_score,aptitude_test_score,leadership_score,Low,82,4,70,https://roadmap.sh/ai-data-scientist
102,20,5.47,0,92,47,57,69,89,94,50,68,73,0,3,No,UI/UX Designer,Product Manager,Mobile App Developer,56,extracurricular_score,leadership_score,aptitude_test_score,Medium,42,11,42,https://roadmap.sh/ux-design
103,18,6.05,0,94,91,71,68,72,83,53,63,55,1,3,Yes,Data Analyst,Data Scientist,Full Stack Developer,76,teamwork_score,coding_skill_score,problem_solving_score,Low,60,8,50,https://roadmap.sh/data-analyst
104,20,7.08,0,76,78,83,64,68,61,57,69,47,1,3,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,77,communication_score,coding_skill_score,aptitude_test_score,Low,61,7,52,https://roadmap.sh/android
105,24,6.24,0,73,72,97,70,62,73,46,45,68,3,2,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,74,leadership_score,communication_score,teamwork_score,Low,68,6,63,https://roadmap.sh/android
106,25,7.49,0,80,77,75,79,86,79,66,31,62,4,2,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,94,leadership_score,coding_skill_score,teamwork_score,Low,86,4,76,https://roadmap.sh/devops
107,24,5.67,0,78,71,71,87,60,54,60,49,52,1,2,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,66,teamwork_score,leadership_score,coding_skill_score,Low,51,9,49,https://roadmap.sh/cyber-security
108,23,9.88,0,76,57,75,63,78,55,54,89,71,2,1,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,96,communication_score,problem_solving_score,leadership_score,Medium,72,5,67,https://roadmap.sh/full-stack
109,20,5.7,2,75,62,47,77,77,85,72,68,89,1,3,No,UI/UX Designer,Product Manager,Mobile App Developer,69,extracurricular_score,coding_skill_score,aptitude_test_score,Medium,56,8,52,https://roadmap.sh/ux-design
110,22,8.37,3,92,69,55,71,93,96,98,28,76,2,3,No,Product Manager,UI/UX Designer,Data Scientist,84,leadership_score,communication_score,problem_solving_score,Medium,71,5,58,https://roadmap.sh/product-manager
111,20,8.15,0,79,60,37,51,75,78,54,39,84,3,2,No,UI/UX Designer,Product Manager,Mobile App Developer,84,leadership_score,extracurricular_score,communication_score,High,74,5,67,https://roadmap.sh/ux-design
112,23,8.53,0,90,74,85,83,59,68,62,47,68,4,2,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,92,communication_score,problem_solving_score,teamwork_score,Low,85,4,80,https://roadmap.sh/ai-engineer
113,22,7.79,0,74,83,77,81,68,74,55,86,44,2,3,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,86,extracurricular_score,aptitude_test_score,problem_solving_score,Low,72,5,65,https://roadmap.sh/devops
114,23,5.21,3,60,75,72,90,77,59,68,52,49,4,3,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,74,leadership_score,teamwork_score,extracurricular_score,Low,77,4,65,https://roadmap.sh/devops
115,21,6.21,0,88,86,64,87,58,55,65,85,46,2,1,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,76,communication_score,extracurricular_score,problem_solving_score,Low,60,8,59,https://roadmap.sh/devops
116,21,6.61,0,60,84,79,92,61,56,72,47,53,1,3,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,80,teamwork_score,aptitude_test_score,coding_skill_score,Low,63,7,53,https://roadmap.sh/devops
117,22,6.49,0,76,78,98,82,54,59,66,42,47,1,3,No,AI / ML Engineer,Data Scientist,Full Stack Developer,74,teamwork_score,communication_score,aptitude_test_score,Low,59,8,50,https://roadmap.sh/ai-engineer
118,21,5.07,0,73,58,90,72,77,63,47,79,51,0,4,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,59,aptitude_test_score,problem_solving_score,coding_skill_score,Medium,47,10,44,https://roadmap.sh/full-stack
119,23,6.92,0,72,59,88,71,63,72,60,71,50,1,3,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,71,teamwork_score,leadership_score,aptitude_test_score,Medium,57,8,52,https://roadmap.sh/devops
120,21,8.19,2,78,88,77,90,75,71,58,72,66,1,1,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,74,teamwork_score,leadership_score,coding_skill_score,Low,53,9,45,https://roadmap.sh/ai-data-scientist
121,19,7.23,0,59,56,35,56,78,95,64,93,74,0,3,No,UI/UX Designer,Product Manager,Mobile App Developer,70,communication_score,coding_skill_score,leadership_score,High,51,9,49,https://roadmap.sh/ux-design
122,24,9.04,0,87,66,94,60,78,58,40,64,67,1,1,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,79,coding_skill_score,extracurricular_score,communication_score,Medium,56,8,54,https://roadmap.sh/android
123,19,8.5,0,58,85,60,60,91,96,94,48,71,4,2,Yes,Product Manager,UI/UX Designer,Data Scientist,95,communication_score,extracurricular_score,teamwork_score,Medium,87,4,79,https://roadmap.sh/product-manager
124,20,8.41,0,89,75,76,84,58,79,67,93,41,2,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,76,communication_score,teamwork_score,leadership_score,Low,63,7,55,https://roadmap.sh/ai-data-scientist
